Experiment,SubID,Age,Gender,CountFirst,CountSecond,DogFirst,FirstCounter,SecondCounter,c_1,c_2,c_3,n_1,n_2,n_3,c_1_1,c_1_2,c_2_1,c_2_2,c_3_1,c_3_2,n_1_1,n_1_2,n_2_1,n_2_2,n_3_1,n_3_2
1,1,1.528767123,f,n,c,d,4,4,1,2.45,0,7.6,2.15,6.85,0.5,1.5,1.3,3.6,0,0,7.1,8.1,2.2,2.1,10.7,3
1,2,1.635616438,m,n,c,d,2,4,0.9,2.3,1.65,2.9,2.9,2.5,0,1.8,2.2,2.4,3.3,0,2.1,3.7,3.2,2.6,2.4,2.6
1,3,1.608219178,m,c,n,c,2,2,7.25,8.95,7.8,6.45,6,6.8,6,8.5,7.3,10.6,6.1,9.5,7.1,5.8,7.1,4.9,12.3,1.3
1,4,1.589041096,m,n,c,c,2,4,2.7,3.05,1.55,5.5,4.65,2.35,2.7,2.7,2.9,3.2,1.2,1.9,6.9,4.1,3.5,5.8,1.6,3.1
1,5,1.660273973,f,c,n,d,4,2,4.25,4.75,7.6,0.95,2.25,0.5,4.7,3.8,6.6,2.9,12.4,2.8,1.9,0,3.2,1.3,0,1
1,6,1.482191781,f,n,c,c,2,2,1.85,2.1,1.5,4.05,3.9,4,2.6,1.1,2.2,2,2,1,4.3,3.8,4.6,3.2,4.7,3.3
1,7,1.690410959,m,c,n,d,2,2,2.2,3.35,1.35,3.35,5.7,0.45,3,1.4,3.7,3,1.5,1.2,4.3,2.4,5.5,5.9,0,0.9
1,8,1.646575342,m,n,c,d,4,4,0.8,2.85,2.15,3.7,4.75,2.5,0.9,0.7,4.9,0.8,1.6,2.7,5.5,1.9,7.1,2.4,2.9,2.1
1,9,1.493150685,f,c,n,c,4,4,3.95,4.45,2.1,1.25,1.65,0,4.1,3.8,8.9,0,4.2,0,2.5,0,3.3,0,0,0
1,10,1.706849315,m,n,c,d,4,2,3.95,12,7.2,3.7,3,2.55,4.4,3.5,7.6,16.4,10.4,4,0.9,6.5,3.8,2.2,0,5.1
1,11,1.6,f,c,n,d,4,4,5.75,7.55,4.45,3.8,4.55,2.35,5.2,6.3,4,11.1,3.6,5.3,3.5,4.1,2.6,6.5,1.2,3.5
1,12,1.542465753,m,c,n,c,2,4,1.75,1.8,1.55,1.1,0,0.55,2.4,1.1,1.4,2.2,2.6,0.5,0.7,1.5,0,0,0.8,0.3
1,13,1.668493151,f,n,c,c,4,4,0.15,0.25,0.1,0.1,0.35,0.2,0.3,0,0,0.5,0,0.2,0.2,0,0.3,0.4,0,0.4
1,14,1.695890411,f,c,n,c,4,4,0.85,4.45,0.2,0.75,1.3,1.45,0,1.7,5.8,3.1,0.4,0,0.7,0.8,2.2,0.4,2.9,0
1,15,1.608219178,f,c,n,c,2,4,7.15,9.8,6.15,2.5,3.05,1.65,9.9,4.4,9.1,10.5,7.2,5.1,3.2,1.8,2.9,3.2,3.3,0
1,16,1.736986301,m,n,c,d,2,4,0.85,3.8,0.2,0.35,2.55,1.7,0.6,1.1,1.6,6,0.4,0,0,0.7,1.6,3.5,1.7,1.7
